_id,CampusName,Enrollment,Mascot,Cost
1,Adirondack Community College,4247,Timberwolves,18000
2,Albany,12929,Great Danes,19590
3,Alfred State College,3661,Pioneers,19487
4,Binghamton,13412,Bearcats,19590
5,Brockport,6819,Golden Eagles,22050
6,Broome Community College,6700,Hornets,21000
7,Buffalo State College,9316,Bengals,23284
8,Buffalo,19831,Bulls,21550
9,Canton College of Technology,3291,Kangaroos,21676
10,Cayuga Community College,4632,Spartans,9472
11,Clinton Community College,1897,Cougars,14107
12,Cobleskill,2470,Fighting TIgers,20527
13,Columbia-Greene Community College,2047,Twins,11740
14,Cornell University,5620,Big Red Bears,32740
15,Corning Community College,5301,Red Barons,5774
16,Cortland,6350,Red Dragons,20250
17,Delhi,3562,Broncos,19405
18,Dutchess Community College,9920,Falcons,17265
19,Empire State College,18656,None,13416
20,Environmental Science and Forestry,1700,Mighty Oaks,24510
21,Erie Community College,13649,Kats,11895
22,Farmingdale State College,8394,Rams,20873
23,Fashion Institute of Technology,9667,None,18521
24,Finger Lakes Community College,6800,Lakers,14487
25,Fredonia,4941,Blue Devils,20574
26,Fulton-Montgomery Community College,2589,Raiders,18800
27,Genesee Community College,7087,Cougars,15354
28,Geneseo,4950,Knights,21672
29,Herkimer County Community College,3507,Generals,15520
30,Hudson Valley Community College,12452,Vikings,5934
31,Jamestown Community College,4796,Jayhawks and Jaguars,17420
32,Jefferson Community College,4057,Cannoneers,6456
33,Maritime College,1600,Privateers,22614
34,Mohawk Valley Community College,7149,Hawks,18481
35,Monroe Community College,15335,Tribunes,16274
36,Morrisville State College,3040,Mustang,23352
37,Nassau Community College,22308,Lions,6093
38,New Paltz,6642,Hawks,21403
39,Niagara County Community College,6648,Thunder Wolves,5274
40,"North Country Community College
",2014,Saints,17150
41,Old Westbury,4313,Panthers,19284
42,Oneonta,5800,Red Dragons,22914
43,Onondaga Community College,12271,Lazers,17564
44,Orange County Community College,5703,Colts,6502
45,Oswego,7200,Lakers,21991
46,Plattsburgh,5565,Cardinals,21309
47,Potsdam,3707,Bears,21109
48,Purchase,4493,Panthers,24672
49,Rockland Community College,7322,Fighting Hawks,5800
50,Schenectady County Community College,6466,Royals,4945
51,Stony Brook University,16702,Seawolves,21550
52,Suffolk County Community College,26219,Sharks,6350
53,Sullivan County Community College,1757,Generals,17496
54,Polytechnic Institute,2000,Wildcats,23065
55,Tompkins Cortland Community College,3203,Panthers,17545
56,Ulster County Community College,3702,Senators,5942
57,Westchester Community College ,13916,Vikings,6723
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
